K_repulsion,RMSD_dist,RMSD_angle
0.500000,0.300433,64.357386
0.530000,0.298741,64.336486
0.560000,0.298833,nan
0.590000,0.297647,64.357386
0.620000,0.298659,64.357162
0.650000,0.299141,64.348767
0.680000,0.300046,64.322172
0.710000,0.299242,64.344877
0.740000,0.297392,64.356466
0.770000,0.298355,64.357384
0.800000,0.297235,64.357383
0.830000,0.297151,64.332883
0.860000,0.295776,64.346043
0.890000,0.299354,64.357377
0.920000,0.294320,64.357381
0.950000,0.297572,64.357173
0.980000,0.295230,64.349810
1.010000,0.297063,64.247419
1.040000,0.294563,64.357375
1.070000,0.297700,64.357373
1.100000,0.296452,64.356918
1.130000,0.296948,64.357351
1.160000,0.296304,63.869952
1.190000,0.285802,51.050239
1.220000,0.273408,45.231841
1.250000,0.262430,41.195041
1.280000,0.242913,37.324593
1.310000,0.231674,34.331357
1.340000,0.216862,31.579411
1.370000,0.210026,29.886700
1.400000,0.196220,28.085479
1.430000,0.184508,26.978888
1.460000,0.172739,25.379618
1.490000,0.164258,23.712792
1.520000,0.152743,23.284903
1.550000,0.149980,22.403869
1.580000,0.144406,21.863673
1.610000,0.143712,21.026382
1.640000,0.134952,21.230214
1.670000,0.130292,20.579087
1.700000,0.137975,21.079331
1.730000,0.140157,20.755782
1.760000,0.141344,21.330091
1.790000,0.152556,21.393042
1.820000,0.159217,21.370595
1.850000,0.161196,21.842435
1.880000,0.177244,22.083919
1.910000,0.188342,22.493722
1.940000,0.197185,22.475313
1.970000,0.208180,23.723394
